CD_GEOCODM,NOME,POPULACAO
1200013,Acrelândia,12538
1200054,Assis Brasil,6075
1200104,Brasiléia,21438
1200138,Bujari,8474
1200179,Capixaba,8810
1200203,Cruzeiro do Sul,78444
1200252,Epitaciolândia,15126
1200302,Feijó,32311
1200328,Jordão,6531
1200336,Mâncio Lima,15246
1200344,Manoel Urbano,7989
1200351,Marechal Thaumaturgo,14200
1200385,Plácido de Castro,17203
1200807,Porto Acre,14806
1200393,Porto Walter,9172
1200401,Rio Branco,335796
1200427,Rodrigues Alves,14334
1200435,Santa Rosa do Purus,4612
1200500,Sena Madureira,37993
1200450,Senador Guiomard,20153
1200609,Tarauacá,35526
1200708,Xapuri,16016
2700102,Água Branca,19376
2700201,Anadia,17423
2700300,Arapiraca,214067
2700409,Atalaia,44379
2700508,Barra de Santo Antônio,14228
2700607,Barra de São Miguel,7573
2700706,Batalha,17076
2700805,Belém,4551
2700904,Belo Monte,7032
2701001,Boca da Mata,25780
2701100,Branquinha,10586
2701209,Cacimbinhas,10197
2701308,Cajueiro,20410
2701357,Campestre,6599
2701407,Campo Alegre,50831
2701506,Campo Grande,9032
2701605,Canapi,17248
2701704,Capela,17077
2701803,Carneiros,8290
2701902,Chã Preta,7146
2702009,Coité do Nóia,10926
2702108,Colônia Leopoldina,20022
2702207,Coqueiro Seco,5523
2702306,Coruripe,52160
2702355,Craíbas,22643
2702405,Delmiro Gouveia,48090
2702504,Dois Riachos,10879
2702553,Estrela de Alagoas,17254
2702603,Feira Grande,21325
2702702,Feliz Deserto,4332
2702801,Flexeiras,12339
2702900,Girau do Ponciano,36625
2703007,Ibateguara,15133
2703106,Igaci,25197
2703205,Igreja Nova,23298
2703304,Inhapi,17902
2703403,Jacaré dos Homens,5413
2703502,Jacuípe,6986
2703601,Japaratinga,7752
2703700,Jaramataia,5562
2703759,Jequiá da Praia,12035
2703809,Joaquim Gomes,22581
2703908,Jundiá,4202
2704005,Junqueiro,23854
2704104,Lagoa da Canoa,18253
2704203,Limoeiro de Anadia,26992
2704302,Maceió,932608
2704401,Major Isidoro,18901
2704906,Mar Vermelho,3652
2704500,Maragogi,28746
2704609,Maravilha,10276
2704708,Marechal Deodoro,45994
2704807,Maribondo,13614
2705002,Mata Grande,24702
2705101,Matriz de Camaragibe,23780
2705200,Messias,15682
2705309,Minador do Negrão,5280
2705408,Monteirópolis,6944
2705507,Murici,26706
2705606,Novo Lino,12069
2705705,Olho d'Água das Flores,20367
2705804,Olho d'Água do Casado,8491
2705903,Olho d'Água Grande,4957
2706000,Olivença,11057
2706109,Ouro Branco,10911
2706208,Palestina,5112
2706307,Palmeira dos Índios,70434
