CD_GEOCODM,NOME,POPULACAO
1100015,Alta Floresta D'Oeste,22728
1100023,Ariquemes,109523
1100031,Cabixi,5188
1100049,Cacoal,85893
1100056,Cerejeiras,16204
1100064,Colorado do Oeste,15544
1100072,Corumbiara,7220
1100080,Costa Marques,18798
1100098,Espigão D'Oeste,32695
1100106,Guajará-Mirim,46556
1100114,Jaru,51620
1100122,Ji-Paraná,130009
1100130,Machadinho D'Oeste,40867
1100148,Nova Brasilândia D'Oeste,20489
1100155,Ouro Preto do Oeste,35737
1100189,Pimenta Bueno,36881
1100205,Porto Velho,539354
1100254,Presidente Médici,18571
1100262,Rio Crespo,3804
1100288,Rolim de Moura,55407
1100296,Santa Luzia D'Oeste,6216
1100304,Vilhena,102211
1100320,São Miguel do Guaporé,23077
1100338,Nova Mamoré,31392
1100346,Alvorada D'Oeste,14106
1100379,Alto Alegre dos Parecis,13255
1100403,Alto Paraíso,21847
1100452,Buritis,40356
1100502,Novo Horizonte do Oeste,8329
1100601,Cacaulândia,6269
1100700,Campo Novo de Rondônia,14266
1100809,Candeias do Jamari,27388
1100908,Castanheiras,2987
1100924,Chupinguaia,11472
1100940,Cujubim,26183
1101005,Governador Jorge Teixeira,7445
1101104,Itapuã do Oeste,10641
1101203,Ministro Andreazza,9559
1101302,Mirante da Serra,10818
1101401,Monte Negro,16007
1101435,Nova União,6895
1101450,Parecis,6198
1101468,Pimenteiras do Oeste,2148
1101476,Primavera de Rondônia,2776
1101484,São Felipe D'Oeste,5066
1101492,São Francisco do Guaporé,20681
1101500,Seringueiras,11851
1101559,Teixeirópolis,4233
1101609,Theobroma,10395
1101708,Urupá,11272
1101757,Vale do Anari,11377
1101807,Vale do Paraíso,6656
1200013,Acrelândia,15490
1200054,Assis Brasil,7534
1200104,Brasiléia,26702
1200138,Bujari,10420
1200179,Capixaba,12008
1200203,Cruzeiro do Sul,89072
1200252,Epitaciolândia,18696
1200302,Feijó,34884
1200328,Jordão,8473
1200336,Mâncio Lima,19311
1200344,Manoel Urbano,9581
1200351,Marechal Thaumaturgo,19299
1200385,Plácido de Castro,19955
1200393,Porto Walter,12241
1200401,Rio Branco,413418
1200427,Rodrigues Alves,19351
1200435,Santa Rosa do Purus,6717
1200450,Senador Guiomard,23236
1200500,Sena Madureira,46511
1200609,Tarauacá,43151
1200708,Xapuri,19596
1200807,Porto Acre,18824
1300029,Alvarães,16220
1300060,Amaturá,11736
1300086,Anamã,13956
1300102,Anori,21477
1300144,Apuí,22359
1300201,Atalaia do Norte,20398
1300300,Autazes,40290
1300409,Barcelos,27638
1300508,Barreirinha,32483
1300607,Benjamin Constant,43935
1300631,Beruri,20093
1300680,Boa Vista do Ramos,19626
1300706,Boca do Acre,34635
1300805,Borba,41748
1300839,Caapiranga,13283
1300904,Canutama,15807
1301001,Carauari,28508
1301100,Careiro,38348
1301159,Careiro da Várzea,30846
1301209,Coari,85910
1301308,Codajás,29168
1301407,Eirunepé,35700
1301506,Envira,20393
1301605,Fonte Boa,17005
1301654,Guajará,16937
1301704,Humaitá,56144
1301803,Ipixuna,30436
1301852,Iranduba,49011
1301902,Itacoatiara,102701
1301951,Itamarati,7814
1302009,Itapiranga,9230
1302108,Japurá,2251
1302207,Juruá,15106
1302306,Jutaí,13886
1302405,Lábrea,46882
1302504,Manacapuru,98502
1302553,Manaquiri,33049
1302603,Manaus,2219580
1302702,Manicoré,56583
1302801,Maraã,18261
1302900,Maués,65040
1303007,Nhamundá,21443
1303106,Nova Olinda do Norte,38026
1303205,Novo Airão,19928
1303304,Novo Aripuanã,26046
1303403,Parintins,115363
1303502,Pauini,19522
1303536,Presidente Figueiredo,37193
1303569,Rio Preto da Eva,34106
1303601,Santa Isabel do Rio Negro,25865
1303700,Santo Antônio do Içá,21243
1303809,São Gabriel da Cachoeira,46303
1303908,São Paulo de Olivença,40073
1303957,São Sebastião do Uatumã,14352
1304005,Silves,9230
1304062,Tabatinga,67182
1304104,Tapauá,17015
1304203,Tefé,59547
1304237,Tonantins,18897
1304260,Uarini,13690
1304302,Urucará,16130
1304401,Urucurituba,23585
1400027,Amajari,13185
1400050,Alto Alegre,15380
1400100,Boa Vista,419652
1400159,Bonfim,12557
1400175,Cantá,18799
